法規名稱,維護單位,法規分類,最後修訂(民國),最後修訂(西元),存放路徑,原始檔名,來源網址,別名,狀態
輔英科技大學遠距教學數位學習課程實施要點(原：輔英科技大學遠距教學作業要點),教務處,教務法規(#B),114.10.16,2025-10-16,01_行政單位/03_教務處/輔英科技大學遠距教學數位學習課程實施要點(原：輔英科技大學遠距教學作業要點)_law02039.pdf,law02039.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02039.pdf,,已存在
輔英科技大學學生停課、復（補）課及學習輔導應變措施要點,教務處,教務法規(#B),110.10.20,2021-10-20,01_行政單位/03_教務處/輔英科技大學學生停課、復（補）課及學習輔導應變措施要點_law02041.pdf,law02041.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02041.pdf,,已存在
輔英科技大學業界專家協同教學實施要點,教務處,教務法規(#B),113.6.13,2024-06-13,01_行政單位/03_教務處/輔英科技大學業界專家協同教學實施要點_law02042.pdf,law02042.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02042.pdf,,已存在
輔英科技大學教學管理實施要點,教務處,教務法規(#B),114.1.9,2025-01-09,01_行政單位/03_教務處/輔英科技大學教學管理實施要點_law02045.pdf,law02045.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02045.pdf,,已存在
輔英科技大學專任教師授課要點,教務處,教務法規(#B),114.12.3,2025-12-03,01_行政單位/03_教務處/輔英科技大學專任教師授課要點_law02046.pdf,law02046.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02046.pdf,,已存在
輔英科技大學全英語授課課程實施要點(原：輔英科技大學英（外）語授課獎勵要點),教務處,教務法規(#B),112.5.10,2023-05-10,01_行政單位/03_教務處/輔英科技大學全英語授課課程實施要點(原：輔英科技大學英（外）語授課獎勵要點)_law02047.pdf,law02047.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02047.pdf,,已存在
輔英科技大學科目表制定及課程開設要點,教務處,教務法規(#B),115.3.5,2026-03-05,01_行政單位/03_教務處/輔英科技大學科目表制定及課程開設要點_law02059.pdf,law02059.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02059.pdf,,已存在
輔英科技大學實務專題製作實施要點,教務處,教務法規(#B),105.7.26,2016-07-26,01_行政單位/03_教務處/輔英科技大學實務專題製作實施要點_law02005.pdf,law02005.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02005.pdf,,已存在
輔英科技大學教師課程點名作業要點(原：輔英科技大學學生上課點名實施要點),教務處,教務法規(#B),112.11.29,2023-11-29,01_行政單位/03_教務處/輔英科技大學教師課程點名作業要點(原：輔英科技大學學生上課點名實施要點)_law02061.pdf,law02061.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02061.pdf,,已存在
輔英科技大學考試規則,教務處,教務法規(#B),103.1.22,2014-01-22,01_行政單位/03_教務處/輔英科技大學考試規則_law02062.pdf,law02062.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02062.pdf,,已存在
輔英科技大學課程審查作業要點,教務處,教務法規(#B),115.1.15,2026-01-15,01_行政單位/03_教務處/輔英科技大學課程審查作業要點_law02079.pdf,law02079.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02079.pdf,,已存在
輔英科技大學維護突遭重大災害學生學習權益處理原則,教務處,教務法規(#B),105.4.29,2016-04-29,01_行政單位/03_教務處/輔英科技大學維護突遭重大災害學生學習權益處理原則_law02083.pdf,law02083.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02083.pdf,,已存在
輔英科技大學遠距教學推動委員會設置要點,教務處,教務法規(#B),114.9.3,2025-09-03,01_行政單位/03_教務處/輔英科技大學遠距教學推動委員會設置要點_law02094.pdf,law02094.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02094.pdf,,已存在
輔英科技大學教師調、補、代課要點,教務處,教務法規(#B),111.6.16,2022-06-16,01_行政單位/03_教務處/輔英科技大學教師調、補、代課要點_law02099.pdf,law02099.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02099.pdf,,已存在
輔英科技大學專任教師基本授課學時數不足處理辦法,教務處,教務法規(#B),110.6.16,2021-06-16,01_行政單位/03_教務處/輔英科技大學專任教師基本授課學時數不足處理辦法_law02101.pdf,law02101.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02101.pdf,,已存在
輔英科技大學碩士學位論文違反學術倫理案件處理要點,教務處,教務法規(#B),108.6.12,2019-06-12,01_行政單位/03_教務處/輔英科技大學碩士學位論文違反學術倫理案件處理要點_law02106.pdf,law02106.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02106.pdf,,已存在
輔英科技大學自主學習課程實施要點,教務處,教務法規(#B),115.4.2,2026-04-02,01_行政單位/03_教務處/輔英科技大學自主學習課程實施要點_law02108.pdf,law02108.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02108.pdf,,已存在
輔英科技大學研究生學位論文指導費及相關費用支給要點,教務處,教務法規(#B),112.11.29,2023-11-29,01_行政單位/03_教務處/輔英科技大學研究生學位論文指導費及相關費用支給要點_law02111.pdf,law02111.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02111.pdf,,已存在
輔英科技大學學位授予實施要點,教務處,教務法規(#B),110.6.24,2021-06-24,01_行政單位/03_教務處/輔英科技大學學位授予實施要點_law02114.pdf,law02114.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02114.pdf,,已存在
輔英科技大學研究生學位論文品保檢核機制要點,教務處,教務法規(#B),114.6.12,2025-06-12,01_行政單位/03_教務處/輔英科技大學研究生學位論文品保檢核機制要點_law02118.pdf,law02118.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02118.pdf,,已存在
輔英科技大學運動傑出學生彈性修讀課程要點,教務處,教務法規(#B),111.10.6,2022-10-06,01_行政單位/03_教務處/輔英科技大學運動傑出學生彈性修讀課程要點_law02122.pdf,law02122.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02122.pdf,,已存在
輔英科技大學教學空間管理與借用要點,教務處,教務法規(#B),111.12.28,2022-12-28,01_行政單位/03_教務處/輔英科技大學教學空間管理與借用要點_law02125.pdf,law02125.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02125.pdf,,已存在
輔英科技大學跨領域共授課程實施要點,教務處,教務法規(#B),112.5.10,2023-05-10,01_行政單位/03_教務處/輔英科技大學跨領域共授課程實施要點_law02126.pdf,law02126.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02126.pdf,,已存在
